TN4270301d_val,TN4270401d_val,TN4270501d_val,TN4270601d_val,TN4270701d_val,TN4270801d_val,TN4270901d_val,TN4271001d_val,TN4271101d_val,TN4271201d_val,TN4271301d_val,TN4271401d_val,TN4271502d_val
35.5337,35.613,35.5476,35.4864,35.3836,35.3954,35.422,35.3887,35.3515,35.3397,35.3434,35.1449,35.122
35.5337,35.613,35.5476,35.4864,35.3836,35.3954,35.422,35.3887,35.3515,35.3397,35.3434,35.1449,35.122
35.5142,35.6009,35.5539,35.5003,35.3691,35.3737,35.419,35.394,35.3488,35.3425,35.3513,35.1677,35.1188
35.5142,35.6009,35.5539,35.5003,35.3691,35.3737,35.419,35.394,35.3488,35.3425,35.3513,35.1677,35.1188
35.5003,35.5878,35.561,35.5166,35.3657,35.373,35.4148,35.3973,35.3501,35.3447,35.3647,35.2003,35.0928
35.5003,35.5878,35.561,35.5166,35.3657,35.373,35.4148,35.3973,35.3501,35.3447,35.3647,35.2003,35.0928
35.497,35.5886,35.5721,35.5235,35.4016,35.3819,35.4106,35.3984,35.3547,35.3464,35.3735,35.2484,35.0267
35.497,35.5886,35.5721,35.5235,35.4016,35.3819,35.4106,35.3984,35.3547,35.3464,35.3735,35.2484,35.0267
35.4953,35.5953,35.5874,35.537,35.4483,35.3836,35.407,35.3995,35.36,35.3473,35.3778,35.2505,35.0136
35.4953,35.5953,35.5874,35.537,35.4483,35.3836,35.407,35.3995,35.36,35.3473,35.3778,35.2505,35.0136
35.4976,35.6016,35.6028,35.5426,35.4685,35.3846,35.4034,35.3994,35.3614,35.3479,35.3862,35.2509,35.0396
35.4976,35.6016,35.6028,35.5426,35.4685,35.3846,35.4034,35.3994,35.3614,35.3479,35.3862,35.2509,35.0396
35.4978,35.6031,35.6062,35.5545,35.4761,35.386,35.4009,35.3992,35.362,35.351,35.3948,35.2489,35.0274
35.4978,35.6031,35.6062,35.5545,35.4761,35.386,35.4009,35.3992,35.362,35.351,35.3948,35.2489,35.0274
35.4967,35.6022,35.5943,35.5608,35.4996,35.3853,35.4003,35.398,35.3655,35.3548,35.396,35.2271,35.0574
35.4967,35.6022,35.5943,35.5608,35.4996,35.3853,35.4003,35.398,35.3655,35.3548,35.396,35.2271,35.0574
35.4957,35.597,35.5877,35.5673,35.5049,35.3822,35.3985,35.3974,35.3671,35.3576,35.3798,35.2109,35.083
35.4957,35.597,35.5877,35.5673,35.5049,35.3822,35.3985,35.3974,35.3671,35.3576,35.3798,35.2109,35.083
35.4956,35.588,35.5916,35.5755,35.5144,35.3786,35.3965,35.3958,35.3729,35.3593,35.3654,35.1847,35.103
35.4956,35.588,35.5916,35.5755,35.5144,35.3786,35.3965,35.3958,35.3729,35.3593,35.3654,35.1847,35.103
35.497,35.5886,35.596,35.5907,35.5256,35.3825,35.3946,35.3954,35.3823,35.3628,35.3617,35.2122,35.1121
35.497,35.5886,35.596,35.5907,35.5256,35.3825,35.3946,35.3954,35.3823,35.3628,35.3617,35.2122,35.1121
35.5031,35.5786,35.5986,35.5865,35.53,35.3917,35.3919,35.397,35.3879,35.3654,35.3733,35.3315,35.1163
35.5031,35.5786,35.5986,35.5865,35.53,35.3917,35.3919,35.397,35.3879,35.3654,35.3733,35.3315,35.1163
35.5123,35.5583,35.5998,35.5786,35.5331,35.3985,35.3929,35.3982,35.3971,35.369,35.3938,35.3882,35.0794
35.5123,35.5583,35.5998,35.5786,35.5331,35.3985,35.3929,35.3982,35.3971,35.369,35.3938,35.3882,35.0794
35.5144,35.5413,35.5953,35.5764,35.5356,35.4129,35.3951,35.3994,35.4027,35.3708,35.4245,35.4108,35.0346
35.5144,35.5413,35.5953,35.5764,35.5356,35.4129,35.3951,35.3994,35.4027,35.3708,35.4245,35.4108,35.0346
35.5144,35.5413,35.5953,35.5764,35.5356,35.4129,35.3951,35.3994,35.4027,35.3708,35.4245,35.4108,35.0346
35.5132,35.5318,35.5928,35.5745,35.5442,35.4305,35.3961,35.4009,35.4052,35.3809,35.3762,35.4289,35.0008
35.5132,35.5318,35.5928,35.5745,35.5442,35.4305,35.3961,35.4009,35.4052,35.3809,35.3762,35.4289,35.0008
35.5126,35.5169,35.5927,35.5737,35.5525,35.4446,35.3963,35.4015,35.4055,35.3864,35.2608,35.4346,34.9516
35.5126,35.5169,35.5927,35.5737,35.5525,35.4446,35.3963,35.4015,35.4055,35.3864,35.2608,35.4346,34.9516
35.5147,35.5221,35.59,35.5715,35.5617,35.4689,35.3975,35.4027,35.4068,35.3851,35.1995,35.4361,34.8958
35.5147,35.5221,35.59,35.5715,35.5617,35.4689,35.3975,35.4027,35.4068,35.3851,35.1995,35.4361,34.8958
35.528,35.5405,35.5841,35.5684,35.5645,35.4792,35.4007,35.4037,35.3781,35.3776,35.1898,35.4341,34.8644
35.528,35.5405,35.5841,35.5684,35.5645,35.4792,35.4007,35.4037,35.3781,35.3776,35.1898,35.4341,34.8644
35.5373,35.567,35.5851,35.568,35.5727,35.483,35.4145,35.4043,35.2864,35.3371,35.1845,35.4362,34.9805
35.5373,35.567,35.5851,35.568,35.5727,35.483,35.4145,35.4043,35.2864,35.3371,35.1845,35.4362,34.9805
35.5442,35.5905,35.5813,35.5695,35.5805,35.4897,35.4203,35.4059,35.179,35.2729,35.1614,35.421,35.0059
35.5442,35.5905,35.5813,35.5695,35.5805,35.4897,35.4203,35.4059,35.179,35.2729,35.1614,35.421,35.0059
35.5535,35.6595,35.5752,35.5693,35.5837,35.4918,35.3245,35.4095,35.1046,35.2285,35.1906,35.4034,35.0375
35.5535,35.6595,35.5752,35.5693,35.5837,35.4918,35.3245,35.4095,35.1046,35.2285,35.1906,35.4034,35.0375
